City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
144,Atyashevo,RU,54.5644,46.0691,72.79,71,16,6.08,few clouds
145,Sibu,MY,2.3,111.8167,74.39,95,91,2.73,overcast clouds
146,Meadow Lake,US,34.8014,-106.5436,77.7,57,3,4.85,clear sky
147,Pozo Colorado,PY,-23.4923,-58.7972,86.63,25,83,13.69,broken clouds
148,Talaya,RU,61.3833,152.75,64.71,86,39,8.14,scattered clouds
149,Lagoa,PT,39.05,-27.9833,66.2,79,100,13.47,overcast clouds
150,Cayenne,GF,4.9333,-52.3333,86.04,66,75,5.75,broken clouds
151,Topchikha,RU,52.8192,83.1185,59.65,94,100,16.44,moderate rain
152,Hamilton,US,39.1834,-84.5333,87.89,78,40,12.66,scattered clouds
153,Carthage,TN,36.8611,10.3316,92.73,49,20,11.5,few clouds
154,Yangambi,CD,0.8102,24.4336,87.69,45,93,1.95,overcast clouds
155,Straumen,NO,63.8709,11.2999,59.0,80,92,1.99,light rain
156,Rio Gallegos,AR,-51.6226,-69.2181,32.5,86,100,7.92,overcast clouds
157,Pueblo Nuevo,MX,23.3833,-105.3833,66.02,70,78,1.34,broken clouds
158,Prince Rupert,CA,54.3161,-130.3201,55.49,100,100,0.0,mist
159,Mar Del Plata,AR,-38.0023,-57.5575,47.08,100,100,5.75,fog
160,Maceio,BR,-9.6658,-35.7353,80.04,78,75,13.8,broken clouds
161,Avera,US,33.194,-82.5271,87.85,52,48,6.46,scattered clouds
162,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,65,0,11.5,clear sky
163,Iqaluit,CA,63.7506,-68.5145,40.73,100,100,8.05,mist
164,Atuona,PF,-9.8,-139.0333,77.68,72,21,24.07,few clouds
165,Dikson,RU,73.5069,80.5464,33.49,91,54,9.8,broken clouds
166,Maningrida,AU,-12.0667,134.2667,61.61,80,12,9.91,few clouds
167,Gilgit,PK,35.9221,74.3087,86.2,52,97,9.35,overcast clouds
168,Cabo San Lucas,MX,22.8909,-109.9124,89.91,19,0,3.44,clear sky
169,Carnarvon,AU,-24.8667,113.6333,67.3,32,0,9.95,clear sky
170,Tres Lagoas,BR,-20.7511,-51.6783,83.1,29,82,10.94,broken clouds
171,Saint-Augustin,CA,51.226,-58.6502,64.42,44,100,6.93,overcast clouds
172,Lincoln,US,40.8,-96.667,75.9,94,75,1.01,broken clouds
173,Neiafu,TO,-18.65,-173.9833,75.88,78,40,6.91,scattered clouds
174,Ballina,AU,-28.8667,153.5667,56.01,88,25,11.74,scattered clouds
175,Son Tay,VN,21.1378,105.505,84.13,92,100,1.88,overcast clouds
176,Sangar,RU,63.9242,127.4739,56.55,86,100,3.8,overcast clouds
177,Codrington,AU,-38.2667,141.9667,47.3,84,60,8.75,broken clouds
178,Dingle,PH,10.9995,122.6711,73.11,96,100,4.54,overcast clouds
179,Sulangan,PH,11.1373,123.7228,81.55,80,94,12.93,moderate rain
180,Roald,NO,62.5833,6.1333,55.33,94,75,12.66,light intensity drizzle rain
181,Kununurra,AU,-15.7667,128.7333,51.78,71,21,0.0,few clouds
182,San Quintin,MX,30.4833,-115.95,67.73,78,79,10.54,broken clouds
183,Dongli,CN,23.5656,116.8194,77.07,95,100,1.81,overcast clouds
184,Hithadhoo,MV,-0.6,73.0833,82.85,76,100,11.27,overcast clouds
185,Ambanja,MG,-13.6833,48.45,73.06,75,6,2.3,clear sky
186,Kinablangan,PH,7.6947,126.5503,78.82,86,63,5.03,moderate rain
187,Rawson,AR,-43.3002,-65.1023,50.45,66,99,20.4,overcast clouds
188,Nome,US,64.5011,-165.4064,52.16,87,100,10.36,light rain
189,Montorio Al Vomano,IT,42.5831,13.6383,90.43,33,22,8.5,few clouds
190,Victor Harbor,AU,-35.5667,138.6167,52.0,91,28,7.65,scattered clouds
191,Teeli,RU,51.0333,90.2333,59.22,54,79,2.84,light rain
192,Kruisfontein,ZA,-34.0033,24.7314,62.89,64,0,5.53,clear sky
193,Kidal,ML,18.4411,1.4078,104.22,15,28,3.6,scattered clouds
194,Victoria,HK,22.2855,114.1577,84.25,91,100,1.01,light rain
