City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Tura,IN,2022-07-01 20:07:30,25.5198,90.2201,74.16,95,76,4.16
136,Waw,SS,2022-07-01 20:07:30,7.7029,27.9953,74.48,67,92,3.11
137,Iralaya,HN,2022-07-01 20:07:31,15.0,-83.2333,81.32,85,83,17.85
138,Peterhead,GB,2022-07-01 20:07:31,57.5058,-1.7981,55.8,89,100,4.72
139,Dungarpur,IN,2022-07-01 20:08:31,23.8333,73.7167,79.9,82,100,15.48
140,Kaitangata,NZ,2022-07-01 20:07:22,-46.2817,169.8464,48.18,80,84,10.38
141,Ponta Delgada,PT,2022-07-01 20:08:32,37.7333,-25.6667,70.52,78,40,10.36
142,Iquitos,PE,2022-07-01 20:08:32,-3.7481,-73.2472,86.04,66,75,3.44
143,Yellowknife,CA,2022-07-01 20:08:32,62.456,-114.3525,71.56,28,99,11.99
144,Oussouye,SN,2022-07-01 20:08:33,12.485,-16.5469,81.09,78,85,11.03
145,Tokur,RU,2022-07-01 20:08:33,53.1333,132.9,59.5,80,0,2.44
146,La Rioja,ES,2022-07-01 20:07:58,42.25,-2.5,69.58,50,0,3.56
147,Bredasdorp,ZA,2022-07-01 20:08:34,-34.5322,20.0403,59.88,58,0,4.34
148,Cherskiy,RU,2022-07-01 20:08:34,68.75,161.3,48.51,61,100,10.25
149,Hofn,IS,2022-07-01 20:08:34,64.2539,-15.2082,53.1,84,13,8.95
150,Voyinka,UA,2022-07-01 20:08:35,45.8699,33.9914,72.93,48,0,8.01
151,San Rafael,AR,2022-07-01 20:08:35,-34.6177,-68.3301,60.58,21,95,13.62
152,Gondanglegi,ID,2022-07-01 20:08:35,-7.7479,112.0132,74.62,90,35,10.33
153,Iqaluit,CA,2022-07-01 20:08:36,63.7506,-68.5145,41.7,73,58,13.8
154,Poum,NC,2022-07-01 20:08:36,-20.2333,164.0167,74.26,68,100,11.12
155,Belyy Yar,RU,2022-07-01 20:08:36,53.6039,91.3903,59.86,94,0,2.24
156,Thomastown,IE,2022-07-01 20:08:37,52.5267,-7.1372,58.42,93,85,8.95
157,Novyy Urengoy,RU,2022-07-01 20:07:17,66.0833,76.6333,50.72,61,100,10.22
158,Upernavik,GL,2022-07-01 20:08:37,72.7868,-56.1549,37.49,84,100,11.01
159,Ostrovnoy,RU,2022-07-01 20:08:38,68.0531,39.5131,45.55,96,100,7.67
160,Kasongo-Lunda,CD,2022-07-01 20:08:38,-6.4667,16.8167,71.82,36,3,1.68
161,Fayaoue,NC,2022-07-01 20:08:38,-20.65,166.5333,74.95,80,98,16.11
162,Dikson,RU,2022-07-01 20:08:39,73.5069,80.5464,33.37,93,100,6.51
163,Neustadt,DE,2022-07-01 20:08:39,49.7117,12.0872,56.97,87,0,0.0
164,Davila,PH,2022-07-01 20:08:39,18.4726,120.5763,81.79,76,100,4.68
165,Parrita,CR,2022-07-01 20:08:40,9.5201,-84.3225,79.61,80,100,2.1
166,Mahon,ES,2022-07-01 20:08:40,39.8885,4.2658,73.96,64,0,10.36
167,Gamba,GA,2022-07-01 20:08:40,-2.65,10.0,70.83,91,3,4.63
168,Razole,IN,2022-07-01 20:08:41,16.4833,81.8333,85.75,67,100,4.65
169,Vitoria Da Conquista,BR,2022-07-01 20:08:41,-14.8661,-40.8394,73.06,45,1,9.8
170,Victoria,HK,2022-07-01 20:03:46,22.2855,114.1577,80.65,88,100,21.0
171,Auki,SB,2022-07-01 20:08:41,-8.7676,160.7034,76.59,87,18,5.84
172,Uige,AO,2022-07-01 20:08:42,-7.6087,15.0613,67.82,36,4,3.76
173,Marsabit,KE,2022-07-01 20:08:42,2.3284,37.9899,64.4,63,24,20.76
